LEXEME	REPLACEMENT	COMMENT
a ˨˩ tao ˨˩ mōn ˦˥ šia	atao˨˩mōn˨˩šia˦˥	swap tones
˨ yēt ˨˩ tao ˦˥ šia	yēt˨tao˨˩šia˦˥	swap tones
˨˦ a ˨˦ mä	a˨˦mä˨˦	swap tones
˨ amä°	amä°˨	swap tones
˨ a ˦˨ mäzo°	a˨mäzo°˦˨	swap tones
˦ nä	nä˦	swap tones
˦ ǎ ˨ mī	ǎ˦mī˨	swap tones
s’a ˧ eᵏ	s’aeᵏ˧	swap tones
ša ˨˩ mī	šamī˨˩	swap tones
θa ˨˩ mi	θami˨˩	swap tones
˩˨ tī	tī˩˨	swap tones
˨˦ hlāi ˧˨ lūk ˨˦ hñiṅ	hlāi˨˦lūk˧˨hñiṅ˨˦	swap tones
˨˦ lāi ˦˨ lūᵏ ˨˦ yiṅ	lāi˨˦lūᵏ˦˨yiṅ˨˦	swap tones
˦˨ luk ˦ yiṅ (˦ tàṅ ˨˦ lai)	luk˦˨yiṅ˦	swap tones
˦˥ kàk ˧ kon ˦˥ gai	kàk˦˥kon˧gai˦˥	swap tones
= p’ō = mu ˧ la = p’a	mu=p’ō=p’a=la˧	swap tones
˦ p’ō ˥˦ mü ˧ ta ˥˦ p’ā	p’ō˦mü˥˦ta˧p’ā˥˦	swap tones
˦˥ oa ˦˥ k’oa ˨˩ mōn ˦˥ šia	oa˦˥k’oa˦˥mōn˨˩šia˦˥	swap tones
˨˩ miēn ˦˥ šia ˦˥ šam	miēn˨˩šia˦˥šam˦˥	swap tones
˨˦ a ˨˦ mä ˨˦ še (or ˨˦ ḏẕö)	a˨˦mä˨˦še˨˦	swap tones
˨ a ˦˨ mä (hi°)	a˨mä˦˨	swap tones
˨ a ˦˨ mä zo° (hi°)	a˨zo°mä˦˨	swap tones
˦ ǎ ˨ mī (= bū)	ǎ˦mī˨	swap tones
s’a ˧ eᵏ dàᵏ	s’adàᵏeᵏ˧	swap tones
ša ˨˩ mī tui°	šatui°mī˨˩	swap tones
θa ˨˩ mi ˥˦ do°	θami˨˩do°˥˦	swap tones
˩˨ tīā̃	tīā̃˩˨	swap tones
˨˦ mā	mā˨˦	swap tones
˩˨ mā (˦˥ kwū)	mā˩˨	swap tones
˦ ˦˨ mā ˧ tuà ˦˨ p’ū	mā˦˦˨tuà˧p’ū˦˨	swap tones
˥˦ mà ˦˨ på	mà˥˦på˦˨	swap tones
˨ ṅüà (˨ dük)	ṅüà˨	swap tones
˨ ka = θē	θē=ka˨	swap tones
˧ ka ˥˦ θē	ka˧θē˥˦	swap tones
˦ ˦˨ neṅ	neṅ˦˦˨	swap tones
a ˨˩ tao ˨ ma	atao˨˩ma˨	swap tones
˨ yēt ˨˩ tao ˨˦ ma	yēt˨tao˨˩ma˨˦	swap tones
˦ mᵘ	mᵘ˦	swap tones
mo° ˨ po	mo°po˨	swap tones
mu° ˨ po	mu°po˨	swap tones
˦ à ˨ mū ˦ pà	à˦mū˨pà˦	swap tones
s’a ˧ bū ˧ wā	s’abū˧wā˧	swap tones
˨˩ mraṅ	mraṅ˨˩	swap tones
˨˩ myin	myin˨˩	swap tones
˩˨ kōṛā	kōṛā˩˨	swap tones
˦˨ k’å ˨˦ mā	k’å˦˨mā˨˦	swap tones
˨˦ mu ˨˦ mā	mu˨˦mā˨˦	swap tones
˩˨ mā ˩˨ mō	mā˩˨mō˩˨	swap tones
˦ ˦˨ mā ˧ tuà ˧ mīà	mā˦˦˨tuà˧mīà˧	swap tones
˥˦ mà ˦˨ mä	mà˥˦mä˦˨	swap tones
˨ nüà ˦˥ kai	nüà˨kai˦˥	swap tones
˧ ka = θē ˧ mō	θē=ka˧mō˧	swap tones
˧ ka ˥˦ θē ˦˨ mō	ka˧θē˥˦mō˦˨	swap tones
˩˨ na ˦ ˦˨ neṅ	na˩˨neṅ˦˦˨	swap tones
a ˨˩ tao ˨ ma ˨ ñay	atao˨˩ma˨ñay˨	swap tones
˨ yēt ˨˩ tao ˨˦ ma ˨˩ ñāy	yēt˨tao˨˩ma˨˦ñāy˨˩	swap tones
˦ mᵘ ˦˨ kie	mᵘ˦kie˦˨	swap tones
mo° ˦˨ mo	mo°mo˦˨	swap tones
mu° ˦˨ mo	mu°mo˦˨	swap tones
˦ à ˨ mū ˧ mà	à˦mū˨mà˧	swap tones
s’a ˧ bū ˨˩ pā	s’abū˧pā˨˩	swap tones
˨˩ mraṅ ma	mamraṅ˨˩	swap tones
˨˩ myin ˥˦ mà°	myin˨˩mà°˥˦	swap tones
˩˨ kōṛī	kōṛī˩˨	swap tones
˨˦ hlāi ˦ ˦˨ mā ˧ tuà ˦˨ p’ū	hlāi˨˦mā˦˦˨tuà˧p’ū˦˨	swap tones
˨˦ lāi ˦ ˦˨ mā ˧ tuà ˦˨ p’ū	lāi˨˦mā˦˦˨tuà˧p’ū˦˨	swap tones
˥˦ mà ˦˨ på (˦ tàṅ ˨˦ lai)	mà˥˦på˦˨	swap tones
˦˥ kàk ˨ ṅüà (˨ dük)	kàk˦˥ṅüà˨	swap tones
˧ ka = θē = θī	θī=θē=ka˧	swap tones
˧ ka ˥˦ θē ˧ ta ˥˦ p’ā	ka˧θē˥˦ta˧p’ā˥˦	swap tones
˦˥ sa ˦˥ k’oa ˨ ma	sa˦˥k’oa˦˥ma˨	swap tones
˨˦ ma ˨˩ mai ˦˥ šam	ma˨˦mai˨˩šam˦˥	swap tones
˦ mᵘ ˨˦ še (or ˨˦ ḏẕö)	mᵘ˦še˨˦	swap tones
mo° ˨ po hi°	mo°hi°po˨	swap tones
s’a ˧ bū ˧ wā dàᵏ	s’abū˧dàᵏwā˧	swap tones
˨˩ mraṅ ˨˩ myā	mraṅ˨˩myā˨˩	swap tones
˨˩ myin ˨˩ myā	myin˨˩myā˨˩	swap tones
˩˨ kōṛe	kōṛe˩˨	swap tones
˨˦ hlāi ˦ ˦˨ mā ˧ tuà ˧ mīà	hlāi˨˦mā˦˦˨tuà˧mīà˧	swap tones
˨˦ lāi ˦ ˦˨ mā ˧ tuà ˧ mīà	lāi˨˦mā˦˦˨tuà˧mīà˧	swap tones
˥˦ mà ˨˦ mä (˧ tàṅ ˨˦ lai)	mà˥˦mä˨˦	swap tones
˦˥ kàk ˨ ṅüà ˦˥ kai	kàk˦˥ṅüà˨kai˦˥	swap tones
˧ ka = θē ˧ mō = θī	θē=ka˧θī=mō˧	swap tones
˧ ka ˥˦ θē ˦˨ mō ˧ ta ˥˦ p’ā	ka˧θē˥˦mō˦˨ta˧p’ā˥˦	swap tones
˦˥ oa ˦˥ k’oa ˨ ma ˨ ñay	oa˦˥k’oa˦˥ma˨ñay˨	swap tones
˨˦ ma ˨˩ ñāy ˨˩ mao ˦˥ šam	ma˨˦ñāy˨˩mao˨˩šam˦˥	swap tones
˦ mᵘ ˦˨ kie ˨˦ še (or ˨˦ ḏẕö)	mᵘ˦kie˦˨še˨˦	swap tones
mo° ˦˨ mo hi°	mo°hi°mo˦˨	swap tones
s’a ˧ bū ˨˩ pā dàᵏ	s’abū˧dàᵏpā˨˩	swap tones
˨˩ mraṅ ma ˨˩ myā	mamraṅ˨˩myā˨˩	swap tones
˨˩ myin ˥˦ mà° ˨˩ myā	myin˨˩mà°˥˦myā˨˩	swap tones
˩˨ kōṛīā̃	kōṛīā̃˩˨	swap tones
˦ kuṅ ˨ niu	kuṅ˦niu˨	swap tones
˨ ṅau ˦˥ kwū	ṅau˨kwū˦˥	swap tones
˧ wuà ˧ tuà ˦˨ p’ū	wuà˧tuà˧p’ū˦˨	swap tones
˦ wō ˦˨ på	wō˦på˦˨	swap tones
˧ kon ˨˩ bo ˨ dük	kon˧bo˨˩dük˨	swap tones
= klå ˨ p’a ˧ t’ī	klå=p’a˨t’ī˧	swap tones
˦˨ klå ˧ p’ā	klå˦˨p’ā˧	swap tones
˦ ˦˨ pü ˦ ˦˨ ñō ˦ daṅ	pü˦˦˨ñō˦˦˨daṅ˦	swap tones
a ˨˩ tao ṅaō ˨˩ ṅoāṅ	aṅaōtao˨˩ṅoāṅ˨˩	swap tones
˨ yēt ˨˩ tao ˨˩ yaṅ ˨˩ ṅuṅ ˦˥ kāu	yēt˨tao˨˩yaṅ˨˩ṅuṅ˨˩kāu˦˥	swap tones
˨˦ la ˦˨ hä	la˨˦hä˦˨	swap tones
˦ lo ˦ hä	lo˦hä˦	swap tones
˨ lo ˨ bö	lo˨bö˨	swap tones
˦ à ˨ ñī ˦ pà	à˦ñī˨pà˦	swap tones
˧ mouᵗ ˧ wā	mouᵗ˧wā˧	swap tones
˨˩ nwā ˨˩ t’ī	nwā˨˩t’ī˨˩	swap tones
˨˩ nwā ˨˩ di	nwā˨˩di˨˩	swap tones
na ˨˩ di	nadi˨˩	swap tones
˩˨ ṭaggā	ṭaggā˩˨	swap tones
˨˦ mu ˨ niu	mu˨˦niu˨	swap tones
˨ ṅau ˩˨ mō	ṅau˨mō˩˨	swap tones
˧ wuà ˧ tuà ˧ mīà	wuà˧tuà˧mīà˧	swap tones
˦ wō ˦˨ mä	wō˦mä˦˨	swap tones
˧ kon ˨˩ bo ˦˥ kai	kon˧bo˨˩kai˦˥	swap tones
= klå ˨ mō	klå=mō˨	swap tones
˦˨ klå ˦˨ mō	klå˦˨mō˦˨	swap tones
˩˨ na ˦ ˦˨ ñō ˦ daṅ	na˩˨ñō˦˦˨daṅ˦	swap tones
a ˨˩ tao ṅaō ˨˩ ṅoāṅ ˨ ñay	aṅaōtao˨˩ṅoāṅ˨˩ñay˨	swap tones
˨ yēt ˨˩ tao ˨˩ yaṅ ˨˩ ṅuṅ ˨˩ ñāy	yēt˨tao˨˩yaṅ˨˩ṅuṅ˨˩ñāy˨˩	swap tones
˨˦ ñⁱ ˦˨ ma	ñⁱ˨˦ma˦˨	swap tones
ni° ˦˨ mo	ni°mo˦˨	swap tones
˦˨ noni° ˦˨ mo	noni°˦˨mo˦˨	swap tones
˦ à ˨ ñī ˨ mà	à˦ñī˨mà˨	swap tones
˧ mouᵗ ˨˩ pā	mouᵗ˧pā˨˩	swap tones
˨˩ nwā ma	manwā˨˩	swap tones
˨˩ nwā ˥˦ mà°	nwā˨˩mà°˥˦	swap tones
na ˥˦ mà°	namà°˥˦	swap tones
˨˦ hlāi ˧ wuà ˧ tuà ˦˨ p’ū	hlāi˨˦wuà˧tuà˧p’ū˦˨	swap tones
˨˦ lāi ˧ wuà ˧ tuà ˦˨ p’ū	lāi˨˦wuà˧tuà˧p’ū˦˨	swap tones
˦ wō ˦˨ på (˧ tàṅ ˨˦ lai)	wō˦på˦˨	swap tones
˦˥ kàk ˨ kon ˨˩ bo ˨ dük	kàk˦˥kon˨bo˨˩dük˨	swap tones
= klå ˨ p’a ˧ t’ī = θī	klå=p’a˨θī=t’ī˧	swap tones
˦˨ klǎ ˧ p’ā ˧ ta ˥˦ p’ā	klǎ˦˨p’ā˧ta˧p’ā˥˦	swap tones
˦˥ ao ˦˥ k’oa ṅaō ˨˩ ṅoāṅ	ao˦˥ṅaōk’oa˦˥ṅoāṅ˨˩	swap tones
˨˩ mai ˦˥ šam ˨˩ yaṅ ˨˩ ṅuṅ ˦˥ kāu	mai˨˩šam˦˥yaṅ˨˩ṅuṅ˨˩kāu˦˥	swap tones
˨˦ la ˦˨ hä ˨˦ še (or ˨˦ ḏẕö)	la˨˦hä˦˨še˨˦	swap tones
˦ lo ˦ hä hi°	lo˦hi°hä˦	swap tones
˦ à ˨ ñi ˦ pà	à˦ñi˨pà˦	swap tones
˧ mouᵗ ˧ wā dàᵏ	mouᵗ˧dàᵏwā˧	swap tones
˨˩ nwā ˨˩ t’ī ˨˩ myā	nwā˨˩t’ī˨˩myā˨˩	swap tones
na ˨˩ di ˨˩ myā	nadi˨˩myā˨˩	swap tones
˩˨ ṭagge	ṭagge˩˨	swap tones
˨˦ hlāi ˧ wuà ˧ tuà ˧ mīà	hlāi˨˦wuà˧tuà˧mīà˧	swap tones
˨˦ lāi ˧ wuà ˧ tuà ˧ mīà	lāi˨˦wuà˧tuà˧mīà˧	swap tones
˦ wō ˦˨ mä (˧ tàṅ ˨˦ lai)	wō˦mä˦˨	swap tones
˦˥ kà ˧ kon ˨˩ bo ˦˥ kai	kà˦˥kon˧bo˨˩kai˦˥	swap tones
= klå ˧ mō = θī	klå=θī=mō˧	swap tones
˦˨ klå ˦˨ mō ˧ ta ˥˦ p’ā	klå˦˨mō˦˨ta˧p’ā˥˦	swap tones
˦˥ oa ˦˥ k’oa ṅaō ˨˩ ṅoāṅ ˨ ñay	oa˦˥ṅaōk’oa˦˥ṅoāṅ˨˩ñay˨	swap tones
˨˩ mai ˦˥ šam ˨˩ yaṅ ˨˩ ṅuṅ ˨˩ ñāy	mai˨˩šam˦˥yaṅ˨˩ṅuṅ˨˩ñāy˨˩	swap tones
˨˦ ñⁱ ˦˨ ma ˨˦ še (or ˨˦ ḏẕö)	ñⁱ˨˦ma˦˨še˨˦	swap tones
ni° ˦˨ mo hi°	ni°hi°mo˦˨	swap tones
˦ a ˨ ñī ˧ mà	a˦ñī˨mà˧	swap tones
˧ mouᵗ ˨˩ pā dàᵏ	mouᵗ˧dàᵏpā˨˩	swap tones
˨˩ nwā ma ˨˩ myā	manwā˨˩myā˨˩	swap tones
na ˥˦ mà° ˨˩ myā	namà°˥˦myā˨˩	swap tones
˦ kuṅ ˨˦ kō	kuṅ˦kō˨˦	swap tones
˦˥ kau ˦˥ kwū	kau˦˥kwū˦˥	swap tones
˨˦ hmā ˧ tuà ˦˨ p’ū	hmā˨˦tuà˧p’ū˦˨	swap tones
˨˦ mā ˧ tuà ˦˨ p’ū	mā˨˦tuà˧p’ū˦˨	swap tones
˨˦ mā ˦˨ på	mā˨˦på˦˨	swap tones
˧ kon ˦˥ cho	kon˧cho˦˥	swap tones
˥˦ twī	twī˥˦	swap tones
˦˥ tsi ˦˥ dē (male dog)	tsi˦˥dē˦˥	swap tones
a ˨˩ tao ˦˥ klo	atao˨˩klo˦˥	swap tones
˨ yēt ˨˩ tao ˦˥ chʸu	yēt˨tao˨˩chʸu˦˥	swap tones
˨˦ ch’e ˦˨ pa	ch’e˨˦pa˦˨	swap tones
k’i° ˨ po	k’i°po˨	swap tones
˦ a ˦˨ no ˨ po	a˦no˦˨po˨	swap tones
˦ à ˨ nà ˦ pà	à˦nà˨pà˦	swap tones
˧ tyi ˧ wā	tyi˧wā˧	swap tones
˨˩ k’wē	k’wē˨˩	swap tones
˨˩ k’we	k’we˨˩	swap tones
˨˦ mu ˨˦ kō	mu˨˦kō˨˦	swap tones
˦˥ kau ˩˨ mō	kau˦˥mō˩˨	swap tones
˨˦ hmā ˧ tuà ˧ mīà	hmā˨˦tuà˧mīà˧	swap tones
˨˦ mā ˧ tuà ˧ mīà	mā˨˦tuà˧mīà˧	swap tones
˨˦ mā ˦˨ mä	mā˨˦mä˦˨	swap tones
˧ kon ˦˥ cho ˦˥ kai	kon˧cho˦˥kai˦˥	swap tones
= t’wī ˧ mō	t’wī=mō˧	swap tones
˥˦ t’wī ˦˨ mō	t’wī˥˦mō˦˨	swap tones
˩˨ na ˦˥ dē	na˩˨dē˦˥	swap tones
a ˨˩ tao ˦˥ klo ˨ ñay	atao˨˩klo˦˥ñay˨	swap tones
˨ yēt ˨˩ tao ˦˥ chʸu ˨˩ ñāy	yēt˨tao˨˩chʸu˦˥ñāy˨˩	swap tones
˨˦ ch’e ˦˨ ma	ch’e˨˦ma˦˨	swap tones
k’i° ˦˨ mo	k’i°mo˦˨	swap tones
˦ a ˦˨ no ˦˨ mo	a˦no˦˨mo˦˨	swap tones
˦ à ˨ nà ˧ mà	à˦nà˨mà˧	swap tones
˧ tyi ˨˩ pā	tyi˧pā˨˩	swap tones
˨˩ k’wē ma	mak’wē˨˩	swap tones
˨˩ k’we ˥˦ mà°	k’we˨˩mà°˥˦	swap tones
˨˦ hlāi ˨˦ hmā ˧ tuà ˦˨ p’ū	hlāi˨˦hmā˨˦tuà˧p’ū˦˨	swap tones
˨˦ lāi ˨˦ mā ˧ tuà ˦˨ p’ū	lāi˨˦mā˨˦tuà˧p’ū˦˨	swap tones
˨˦ mā ˦˨ på (˧ tàṅ ˨˦ lai)	mā˨˦på˦˨	swap tones
˦˥ kàk ˧ kon ˦˥ cho	kàk˦˥kon˧cho˦˥	swap tones
˥˦ t’wī ˧ ta ˥˦ p’ā	t’wī˥˦ta˧p’ā˥˦	swap tones
˦˥ tsi ˦˥ dē (male dogs)	tsi˦˥dē˦˥	swap tones
˦˥ oa ˦˥ k’oa ˦˥ klō	oa˦˥k’oa˦˥klō˦˥	swap tones
˨˩ mai ˦˥ šam ˦˥ chʸu	mai˨˩šam˦˥chʸu˦˥	swap tones
˨˦ ch’e ˦˨ pa ˨˦ še (or ˨˦ dzö)	ch’e˨˦pa˦˨še˨˦	swap tones
k’i° ˨ po hi°	k’i°hi°po˨	swap tones
˦ à ˨ nà ˧ pà	à˦nà˨pà˧	swap tones
˧ tyi ˧ wā dàᵏ	tyi˧dàᵏwā˧	swap tones
˨˩ k’wē ˨˩ myā	k’wē˨˩myā˨˩	swap tones
˨˩ k’we ˨˩ myā	k’we˨˩myā˨˩	swap tones
˨˦ hlāi ˨˦ hmā ˧ tuà ˧ mīà	hlāi˨˦hmā˨˦tuà˧mīà˧	swap tones
˨˦ lāi ˨˦ mā ˧ tuà ˧ mīà	lāi˨˦mā˨˦tuà˧mīà˧	swap tones
˨˦ mā ˦˨ mä (˧ tàṅ ˨˦ lai)	mā˨˦mä˦˨	swap tones
˦˥ kàk ˧ kɔn ˦˥ cho ˦˥ kai	kàk˦˥kɔn˧cho˦˥kai˦˥	swap tones
= t’wī ˧ mō = θī	t’wī=θī=mō˧	swap tones
˥˦ t’wī ˦˨ mō ˧ ta ˥˦ p’ā	t’wī˥˦mō˦˨ta˧p’ā˥˦	swap tones
˦˥ oa ˦˥ k’oa ˦˥ klo ˨ ñay	oa˦˥k’oa˦˥klo˦˥ñay˨	swap tones
˨˩ mai ˦˥ šam ˦˥ chʸu ˨˩ ñāy	mai˨˩šam˦˥chʸu˦˥ñāy˨˩	swap tones
˨˦ ch’e ˦˨ ma ˨˦ še (or ˨˦ dzö)	ch’e˨˦ma˦˨še˨˦	swap tones
k’i° ˦˨ mo hi°	k’i°hi°mo˦˨	swap tones
˧ tyi ˨˩ pā dàᵏ	tyi˧dàᵏpā˨˩	swap tones
˨˩ k’wē ma ˨˩ mya	mak’wē˨˩mya˨˩	swap tones
˨˩ m’we ˥˦ mà° ˨˩ myā	m’we˨˩mà°˥˦myā˨˩	swap tones
˦ kuṅ ˦ šān ˨ yāṅ	kuṅ˦šān˦yāṅ˨	swap tones
˦ šān ˨ yöṅ ˦˥ kwū	šān˦yöṅ˨kwū˦˥	swap tones
˦ bä̌ ˧ tuà ˦˨ p’ū	bä̌˦tuà˧p’ū˦˨	swap tones
˦ p’ä̌ ˨ tuà ˦˨ p’ū	p’ä̌˦tuà˨p’ū˦˨	swap tones
˥˦ pä ˨˦ nä	pä˥˦nä˨˦	swap tones
˧ kon ˧ yē ˨ dük	kon˧yē˧dük˨	swap tones
˧ mä° ˦ tä° ˦ lä° ˧ p’ā	mä°˧tä°˦lä°˦p’ā˧	swap tones
˦˥ lö̌ü ˦ chi	lö̌ü˦˥chi˦	swap tones
a ˨˩ tao ˨˩ yoṅ ˨˦ koṅ	atao˨˩yoṅ˨˩koṅ˨˦	swap tones
˨ yēt ˨˩ tao ˨˩ yun ˦˥ kāu	yēt˨tao˨˩yun˨˩kāu˦˥	swap tones
˨˦ ts’i ˨˦ la ˦˨ hä	ts’i˨˦la˨˦hä˦˨	swap tones
˨˦ k’i ˨ ku	k’i˨˦ku˨	swap tones
˦ a ˨˦ cho ˨ tsä	a˦cho˨˦tsä˨	swap tones
˦ à ˨ ch’i° ˦ pà	à˦ch’i°˨pà˦	swap tones
kabä (? tone) ˧ wā	kabäwā˧	swap tones
ch’it ˨˩ t’ī	ch’itt’ī˨˩	swap tones
s’eiᵏ ˨˩ t’i	s’eiᵏt’i˨˩	swap tones
˨˦ mu ˦ šān ˨ yāṅ	mu˨˦šān˦yāṅ˨	swap tones
˦ šān ˨ yöṅ ˩˨ mō	šān˦yöṅ˨mō˩˨	swap tones
˦ bä̌ ˧ tuà ˧ mīà	bä̌˦tuà˧mīà˧	swap tones
˦ p’ä̌ ˧ tuà ˧ mīà	p’ä̌˦tuà˧mīà˧	swap tones
˥˦ pä ˦˨ mä	pä˥˦mä˦˨	swap tones
˧ kon ˧ yē ˦˥ kai	kon˧yē˧kai˦˥	swap tones
= bē ˧ mō	bē=mō˧	swap tones
˧ mä° ˦ tä° ˦ lä° ˦˨ mō	mä°˧tä°˦lä°˦mō˦˨	swap tones
˩˨ na ˦ chi	na˩˨chi˦	swap tones
a ˨˩ tao ˨˩ yoṅ ˨ ñay	atao˨˩yoṅ˨˩ñay˨	swap tones
˨ yēt ˨˩ tao ˨˩ yuṅ ˨˩ ñāy	yēt˨tao˨˩yuṅ˨˩ñāy˨˩	swap tones
˨˦ ts’i	ts’i˨˦	swap tones
˨˦ k’i ˦˨ mo	k’i˨˦mo˦˨	swap tones
˦ a ˨˦ cho ˦˨ mo	a˦cho˨˦mo˦˨	swap tones
˦ à ˨ ch’i° ˧ mà	à˦ch’i°˨mà˧	swap tones
kabä (? tone) ˨˩ pā	kabäpā˨˩	swap tones
s’eiᵏ ˥˦ mà°	s’eiᵏmà°˥˦	swap tones
˦ šān ˨ yāṅ	šān˦yāṅ˨	swap tones
˦ šan ˨ yöṅ	šan˦yöṅ˨	swap tones
˨˦ hlāi ˦ bä̌	hlāi˨˦bä̌˦	swap tones
˨˦ lāi ˦ p’ä̌	lāi˨˦p’ä̌˦	swap tones
˥˦ pä (˦ tàṅ ˨˦ lai)	pä˥˦	swap tones
˦˥ kàk ˧ kon ˧ yē	kàk˦˥kon˧yē˧	swap tones
˧ mä° ˦ tä° ˧ lä° ˨ ta ˥˦ p’ā	mä°˧tä°˦lä°˧ta˨p’ā˥˦	swap tones
˦ chi	chi˦	swap tones
˦˥ oa ˦˥ k’oa ˨˩ yoṅ	oa˦˥k’oa˦˥yoṅ˨˩	swap tones
˨˩ mai ˦˥ šam ˨˩ yuṅ	mai˨˩šam˦˥yuṅ˨˩	swap tones
˨˦ ts’i ˨˦ še (or ˨˦ dzö)	ts’i˨˦še˨˦	swap tones
˨˦ k’i hi°	hi°k’i˨˦	swap tones
˦ a ˨˦ cho	a˦cho˨˦	swap tones
˦ à ˨ ch’i°	à˦ch’i°˨	swap tones
ch’it ˨˩ myā	ch’itmyā˨˩	swap tones
s’eiᵏ ˨˩ myā	s’eiᵏmyā˨˩	swap tones
˦ kuṅ ˨ lu°	kuṅ˦lu°˨	swap tones
˨˩ luᵏ ˦ kuṅ	luᵏ˨˩kuṅ˦	swap tones
˧ kwāṅ ˧ tuà ˦˨ p’ū	kwāṅ˧tuà˧p’ū˦˨	swap tones
˨˦ kwāṅ ˦˨ på	kwāṅ˨˦på˦˨	swap tones
˧ kon ˧ nai ˨ dük	kon˧nai˧dük˨	swap tones
= tä ˦˨ yü ˧ p’ā	tä=yü˦˨p’ā˧	swap tones
˦ mwa ˦ lü (a deer)	mwa˦lü˦	swap tones
a ˨˩ tao ˨˩ kum ˨ yāy	atao˨˩kum˨˩yāy˨	swap tones
˨ yēt ˨˩ tao ˨˩ yāy	yēt˨tao˨˩yāy˨˩	swap tones
˨ mᵘ ˦˨ ha ˦˨ pa	mᵘ˨ha˦˨pa˦˨	swap tones
˨˦ ts’ye ˦ pà	ts’ye˨˦pà˦	swap tones
θamàṅ (? tone) ˧ wā	θamàṅwā˧	swap tones
gyī ˨˩ t’ī (barking deer)	gyīt’ī˨˩	swap tones
˧ dyi ˨˩ di	dyi˧di˨˩	swap tones
˩˨ harn	harn˩˨	swap tones
˩˨ arn	arn˩˨	swap tones
˨˦ mu ˨ lu°	mu˨˦lu°˨	swap tones
˨˩ luᵏ ˩˨ mō	luᵏ˨˩mō˩˨	swap tones
˧ kwāṅ ˧ tuà ˧ mīà	kwāṅ˧tuà˧mīà˧	swap tones
˨˦ kwāṅ ˦˨ mä	kwāṅ˨˦mä˦˨	swap tones
˧ kon ˧ nai ˦˥ kai	kon˧nai˧kai˦˥	swap tones
= tä ˦˨ yü ˦˨ mō	tä=yü˦˨mō˦˨	swap tones
a ˨˩ tao ˨˩ kum ˨ yāy ˨ ñay	atao˨˩kum˨˩yāy˨ñay˨	swap tones
˨ yēt ˨˩ tao ˨˩ yāy ˨˩ ñāy	yēt˨tao˨˩yāy˨˩ñāy˨˩	swap tones
˨ mᵘ ˦˨ ha ˦˨ ma	mᵘ˨ha˦˨ma˦˨	swap tones
˨˦ ts’ye ˧ mà	ts’ye˨˦mà˧	swap tones
θamàṅ (? tone) ˨˩ pā	θamàṅpā˨˩	swap tones
˧ dyi ˥˦ mà°	dyi˧mà°˥˦	swap tones
˩˨ harnī	harnī˩˨	swap tones
˩˨ arnī	arnī˩˨	swap tones
˨ lu°	lu°˨	swap tones
˨˩ luᵏ	luᵏ˨˩	swap tones
˨˦ hlāi ˧ kwāṅ	hlāi˨˦kwāṅ˧	swap tones
˨˦ lāi ˧ kwāṅ	lāi˨˦kwāṅ˧	swap tones
˨˦ kwāṅ (˦ tāṅ ˨˦ lai)	kwāṅ˨˦	swap tones
˦˥ kak ˧ kon ˧ nai	kak˦˥kon˧nai˧	swap tones
= tä ˦˨ yü ˧ ta ˥˦ p’ā	tä=yü˦˨ta˧p’ā˥˦	swap tones
˦ mwa ˦ lü	mwa˦lü˦	swap tones
˦˥ oa ˦˥ k’oa ˨˩ kum ˨ yāy	oa˦˥k’oa˦˥kum˨˩yāy˨	swap tones
˨˩ mai ˦˥ šam ˨˩ yāy	mai˨˩šam˦˥yāy˨˩	swap tones
˨ mᵘ ˦˨ ha ˨˦ še (or ˨˦ dzö)	mᵘ˨ha˦˨še˨˦	swap tones
˨˦ ts’ye	ts’ye˨˦	swap tones
gyī ˨˩ myā	gyīmyā˨˩	swap tones
˧ dyi ˨˩ myā	dyi˧myā˨˩	swap tones
˨˦ hau ˨ žan	hau˨˦žan˨	swap tones
˦˥ hō ˨ yan	hō˦˥yan˨	swap tones
˧ gon ˧ tī	gon˧tī˧	swap tones
˧ j’on ˧ dī	j’on˧dī˧	swap tones
˦ kōn ˨˦ lī	kōn˦lī˨˦	swap tones
˨˩ ṅüöi ˦˥ tōt	ṅüöi˨˩tōt˦˥	swap tones
˧ φa ˨˦ ša ˧ a ˨˦ ɣē	φa˧ša˨˦a˧ɣē˨˦	swap tones
= pɣā ˧ a = ɣā	pɣā=ɣā=a˧	swap tones
˦ leṅ ˦˥ zrōṅ	leṅ˦zrōṅ˦˥	swap tones
a ˨˩ tao ˨˩ mōn gooṅ	atao˨˩gooṅmōn˨˩	swap tones
˧ yēt ˨˩ tao ˨˩ miēn ˨˦ chʸàṅ ˨˦ luṅ	yēt˧tao˨˩miēn˨˩chʸàṅ˨˦luṅ˨˦	swap tones
˦˨ ts’o ˨˦ cha	ts’o˦˨cha˨˦	swap tones
˦˨ ts’u ˨˦ cha	ts’u˦˨cha˨˦	swap tones
˦˨ ts’a ˨˦ tsyo	ts’a˦˨tsyo˨˦	swap tones
˨˩ mä ˨˩ beṅ ta ˧ ta ˧ mī ˧ s’ā	mä˨˩tabeṅ˨˩ta˧mī˧s’ā˧	swap tones
yōk ˨˩ yā ˨˩ kōṅ	yōkyā˨˩kōṅ˨˩	swap tones
yauk ˨˩ tyā ˦˨ gauṅ	yauktyā˨˩gauṅ˦˨	swap tones
˨˦ hlāi ˧ gon ˧ tī	hlāi˨˦gon˧tī˧	swap tones
